Escherichia coli str. K-12 substr. MG1655, complete genome. (ncbi_taxid:511145) - 1..4641652

4511 proteins
Location	Strand	Length	PID	Gene	Synonym	Code	COG	Product
4641398..4641463	-	66	NP_414542.1	thrL	b0001			thr operon leader peptide
4638854..4641316	-	2463	NP_414543.1	thrA	b0002			fused aspartate kinase/homoserine dehydrogenase 1
4637920..4638852	-	933	NP_414544.1	thrB	b0003			homoserine kinase
4636633..4637919	-	1287	NP_414545.1	thrC	b0004			threonine synthase
4636123..4636419	-	297	NP_414546.1	yaaX	b0005			DUF2502 domain-containing protein YaaX
4635194..4635970	+	777	NP_414547.1	yaaA	b0006			DNA binding and peroxide stress response protein YaaA
4633694..4635124	+	1431	NP_414548.1	yaaJ	b0007			putative transporter YaaJ
4632462..4633415	-	954	NP_414549.1	talB	b0008			transaldolase B
4631760..4632347	-	588	NP_414550.1	mog	b0009			molybdopterin adenylyltransferase
4631159..4631725	+	567	NP_414551.1	satP	b0010			acetate/succinate:H(+) symporter
4630297..4631010	+	714	NP_414552.1	yaaW	b0011			putative enzyme-specific chaperone YaaW
4630338..4630823	-	486	YP_009518733.1	mbiA	b0012			uncharacterized protein MbiA
4629867..4630271	+	405	NP_414554.1	yaaI	b0013			DUF2541 domain-containing protein YaaI
4627574..4629490	-	1917	NP_414555.1	dnaK	b0014			chaperone protein DnaK
4626355..4627485	-	1131	NP_414556.1	dnaJ	b0015			chaperone protein DnaJ
4625096..4626208	-	1113	NP_414557.1	insL1	b0016			IS186/IS421 family transposase
4624693..4624902	+	210	NP_414559.1	mokC	b0018			regulatory protein MokC
4624750..4624902	+	153	YP_025292.1	hokC	b4412			protein HokC
4624643..4624701	-	59		sokC	b4413			small regulatory RNA antitoxin SokC
4622998..4624164	-	1167	NP_414560.1	nhaA	b0019			Na(+):H(+) antiporter NhaA
4622033..4622938	-	906	NP_414561.1	nhaR	b0020			DNA-binding transcriptional activator NhaR
4621339..4621842	+	504	NP_414562.1	insB1	b0021			IS1 family protein InsB
4621145..4621420	+	276	NP_414563.1	insA1	b0022			IS1 family protein InsA
4620575..4620838	+	264	NP_414564.1	rpsT	b0023			30S ribosomal subunit protein S20
4620254..4620472	-	219	NP_414565.1	yaaY	b0024			DUF2575 domain-containing protein YaaY
4619305..4620246	-	942	NP_414566.1	ribF	b0025			bifunctional riboflavin kinase/FMN adenylyltransferase
4616446..4619262	-	2817	NP_414567.1	ileS	b0026			isoleucine--tRNA ligase
4615952..4616446	-	495	NP_414568.1	lspA	b0027			lipoprotein signal peptidase
4615378..4615827	-	450	NP_414569.1	fkpB	b0028			peptidyl-prolyl cis-trans isomerase FkpB
4614426..4615376	-	951	NP_414570.1	ispH	b0029			4-hydroxy-3-methylbut-2-enyl diphosphate reductase
4613446..4614360	-	915	NP_414571.1	rihC	b0030			ribonucleoside hydrolase RihC
4612458..4613279	-	822	NP_414572.1	dapB	b0031			4-hydroxy-tetrahydrodipicolinate reductase
4610854..4612002	-	1149	NP_414573.1	carA	b0032			carbamoyl-phosphate synthetase small subunit
4607615..4610836	-	3222	NP_414574.1	carB	b0033			carbamoyl-phosphate synthetase large subunit
4606958..4607353	-	396	NP_414576.4	caiF	b0034			DNA-binding transcriptional activator CaiF
4606282..4606872	+	591	NP_414577.2	caiE	b0035			putative transferase CaiE
4605491..4606276	+	786	NP_414578.2	caiD	b0036			crotonobetainyl-CoA hydratase
4603829..4605382	+	1554	NP_414579.4	caiC	b0037			carnitine--CoA ligase
4602538..4603755	+	1218	NP_414580.1	caiB	b0038			gamma-butyrobetainyl-CoA:carnitine CoA transferase
4601267..4602409	+	1143	NP_414581.1	caiA	b0039			crotonobetainyl-CoA reductase
4599722..4601236	+	1515	NP_414582.1	caiT	b0040			L-carnitine:gamma-butyrobetaine antiporter
4598480..4599250	-	771	NP_414583.2	fixA	b0041			putative electron transfer flavoprotein FixA
4597524..4598465	-	942	NP_414584.1	fixB	b0042			putative electron transfer flavoprotein FixB
4596187..4597473	-	1287	NP_414585.1	fixC	b0043			putative oxidoreductase FixC
4595903..4596190	-	288	NP_414586.1	fixX	b0044			putative ferredoxin FixX
4594515..4595846	-	1332	NP_414587.1	yaaU	b0045			putative transporter YaaU
4593877..4594407	-	531	NP_414588.1	kefF	b0046			regulator of KefC-mediated potassium transport and quinone oxidoreductase
4592022..4593884	-	1863	NP_414589.1	kefC	b0047			K(+) : H(+) antiporter KefC
4591351..4591830	-	480	NP_414590.1	folA	b0048			dihydrofolate reductase
4590431..4591273	+	843	NP_414591.1	apaH	b0049			diadenosine tetraphosphatase
4590047..4590424	+	378	NP_414592.1	apaG	b0050			DUF525 domain-containing protein ApaG
4589223..4590044	+	822	NP_414593.1	rsmA	b0051			16S rRNA m(6)2A1518,m(6)2A1519 dimethyltransferase
4588237..4589226	+	990	NP_414594.1	pdxA	b0052			4-hydroxythreonine-4-phosphate dehydrogenase
4586951..4588237	+	1287	NP_414595.1	surA	b0053			chaperone SurA
4584544..4586898	+	2355	NP_414596.1	lptD	b0054			lipopolysaccharide assembly protein LptD
4583474..4584289	-	816	NP_414597.1	djlA	b0055			co-chaperone protein DjlA
4582529..4583179	-	651	YP_009518734.1	yabP	b0056			putative uncharacterized protein YabP
4582374..4582532	-	159	YP_009518735.1	yabQ	b0057			protein YabQ
4581307..4581966	+	660	NP_414600.1	rluA	b0058			23S rRNA pseudouridine(746) and tRNA pseudouridine(32) synthase
4578389..4581295	+	2907	NP_414601.1	rapA	b0059			RNA polymerase-binding ATPase and RNAP recycling factor
4575873..4578224	+	2352	NP_414602.1	polB	b0060			DNA polymerase II
4575103..4575798	+	696	NP_414603.1	araD	b0061			L-ribulose-5-phosphate 4-epimerase AraD
4573316..4574818	+	1503	NP_414604.1	araA	b0062			L-arabinose isomerase
4571605..4573305	+	1701	NP_414605.1	araB	b0063			ribulokinase
4570388..4571266	-	879	NP_414606.1	araC	b0064			DNA-binding transcriptional dual regulator AraC
4569538..4570302	-	765	NP_414607.1	yabI	b0065			DedA family protein YabI
4568726..4569424	+	699	NP_414608.1	thiQ	b0066			thiamine ABC transporter ATP binding subunit
4567132..4568742	+	1611	NP_414609.1	thiP	b0067			thiamine ABC transporter membrane subunit
4566173..4567156	+	984	NP_414610.1	thiB	b0068			thiamine ABC transporter periplasmic binding protein
4566045..4566137	+	93		sroA	b4762			small RNA SroA
4564354..4566009	+	1656	NP_414611.1	sgrR	b0069			DNA-binding transcriptional dual regulator SgrR
4564060..4564286	-	227		sgrS	b4577			small regulatory RNA SgrS
4564134..4564265	-	132	YP_002791237.1	sgrT	b4662			PtsG glucose transporter inhibitor
4562854..4564032	-	1179	YP_025293.1	setA	b0070			sugar exporter SetA
4562200..4562805	+	606	NP_414613.1	leuD	b0071			3-isopropylmalate dehydratase subunit LeuD
4560789..4562189	+	1401	NP_414614.1	leuC	b0072			3-isopropylmalate dehydratase subunit LeuC
4559695..4560786	+	1092	NP_414615.4	leuB	b0073			3-isopropylmalate dehydrogenase
4558124..4559695	+	1572	NP_414616.1	leuA	b0074			2-isopropylmalate synthase
4557945..4558031	+	87	NP_414617.1	leuL	b0075			leu operon leader peptide
