PID,Gene,Code,COG,Product,Length,Synonym,IsORF,ATG,TGA,IsBlankSegment
NP_414542.1,thrL,,,thr operon leader peptide,66,b0001,True,4641463,4641398,False
NP_414543.1,thrA,,,fused aspartate kinase/homoserine dehydrogenase 1,2463,b0002,True,4641316,4638854,False
NP_414544.1,thrB,,,homoserine kinase,933,b0003,True,4638852,4637920,False
NP_414545.1,thrC,,,threonine synthase,1287,b0004,True,4637919,4636633,False
NP_414546.1,yaaX,,,DUF2502 domain-containing protein YaaX,297,b0005,True,4636419,4636123,False
NP_414547.1,yaaA,,,DNA binding and peroxide stress response protein YaaA,777,b0006,True,4635194,4635970,False
NP_414548.1,yaaJ,,,putative transporter YaaJ,1431,b0007,True,4633694,4635124,False
NP_414549.1,talB,,,transaldolase B,954,b0008,True,4633415,4632462,False
NP_414550.1,mog,,,molybdopterin adenylyltransferase,588,b0009,True,4632347,4631760,False
NP_414551.1,satP,,,acetate/succinate:H(+) symporter,567,b0010,True,4631159,4631725,False
NP_414552.1,yaaW,,,putative enzyme-specific chaperone YaaW,714,b0011,True,4630297,4631010,False
YP_009518733.1,mbiA,,,uncharacterized protein MbiA,486,b0012,True,4630823,4630338,False
NP_414554.1,yaaI,,,DUF2541 domain-containing protein YaaI,405,b0013,True,4629867,4630271,False
NP_414555.1,dnaK,,,chaperone protein DnaK,1917,b0014,True,4629490,4627574,False
NP_414556.1,dnaJ,,,chaperone protein DnaJ,1131,b0015,True,4627485,4626355,False
NP_414557.1,insL1,,,IS186/IS421 family transposase,1113,b0016,True,4626208,4625096,False
NP_414559.1,mokC,,,regulatory protein MokC,210,b0018,True,4624693,4624902,False
YP_025292.1,hokC,,,protein HokC,153,b4412,True,4624750,4624902,False
,sokC,,,small regulatory RNA antitoxin SokC,59,b4413,True,4624701,4624643,False
NP_414560.1,nhaA,,,Na(+):H(+) antiporter NhaA,1167,b0019,True,4624164,4622998,False
NP_414561.1,nhaR,,,DNA-binding transcriptional activator NhaR,906,b0020,True,4622938,4622033,False
NP_414562.1,insB1,,,IS1 family protein InsB,504,b0021,True,4621339,4621842,False
NP_414563.1,insA1,,,IS1 family protein InsA,276,b0022,True,4621145,4621420,False
NP_414564.1,rpsT,,,30S ribosomal subunit protein S20,264,b0023,True,4620575,4620838,False
NP_414565.1,yaaY,,,DUF2575 domain-containing protein YaaY,219,b0024,True,4620472,4620254,False
NP_414566.1,ribF,,,bifunctional riboflavin kinase/FMN adenylyltransferase,942,b0025,True,4620246,4619305,False
NP_414567.1,ileS,,,isoleucine--tRNA ligase,2817,b0026,True,4619262,4616446,False
NP_414568.1,lspA,,,lipoprotein signal peptidase,495,b0027,True,4616446,4615952,False
NP_414569.1,fkpB,,,peptidyl-prolyl cis-trans isomerase FkpB,450,b0028,True,4615827,4615378,False
NP_414570.1,ispH,,,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,951,b0029,True,4615376,4614426,False
NP_414571.1,rihC,,,ribonucleoside hydrolase RihC,915,b0030,True,4614360,4613446,False
NP_414572.1,dapB,,,4-hydroxy-tetrahydrodipicolinate reductase,822,b0031,True,4613279,4612458,False
NP_414573.1,carA,,,carbamoyl-phosphate synthetase small subunit,1149,b0032,True,4612002,4610854,False
NP_414574.1,carB,,,carbamoyl-phosphate synthetase large subunit,3222,b0033,True,4610836,4607615,False
NP_414576.4,caiF,,,DNA-binding transcriptional activator CaiF,396,b0034,True,4607353,4606958,False
NP_414577.2,caiE,,,putative transferase CaiE,591,b0035,True,4606282,4606872,False
NP_414578.2,caiD,,,crotonobetainyl-CoA hydratase,786,b0036,True,4605491,4606276,False
NP_414579.4,caiC,,,carnitine--CoA ligase,1554,b0037,True,4603829,4605382,False
NP_414580.1,caiB,,,gamma-butyrobetainyl-CoA:carnitine CoA transferase,1218,b0038,True,4602538,4603755,False
NP_414581.1,caiA,,,crotonobetainyl-CoA reductase,1143,b0039,True,4601267,4602409,False
NP_414582.1,caiT,,,L-carnitine:gamma-butyrobetaine antiporter,1515,b0040,True,4599722,4601236,False
NP_414583.2,fixA,,,putative electron transfer flavoprotein FixA,771,b0041,True,4599250,4598480,False
NP_414584.1,fixB,,,putative electron transfer flavoprotein FixB,942,b0042,True,4598465,4597524,False
NP_414585.1,fixC,,,putative oxidoreductase FixC,1287,b0043,True,4597473,4596187,False
NP_414586.1,fixX,,,putative ferredoxin FixX,288,b0044,True,4596190,4595903,False
NP_414587.1,yaaU,,,putative transporter YaaU,1332,b0045,True,4595846,4594515,False
NP_414588.1,kefF,,,regulator of KefC-mediated potassium transport and quinone oxidoreductase,531,b0046,True,4594407,4593877,False
NP_414589.1,kefC,,,K(+) : H(+) antiporter KefC,1863,b0047,True,4593884,4592022,False
NP_414590.1,folA,,,dihydrofolate reductase,480,b0048,True,4591830,4591351,False
NP_414591.1,apaH,,,diadenosine tetraphosphatase,843,b0049,True,4590431,4591273,False
NP_414592.1,apaG,,,DUF525 domain-containing protein ApaG,378,b0050,True,4590047,4590424,False
NP_414593.1,rsmA,,,"16S rRNA m(6)2A1518,m(6)2A1519 dimethyltransferase",822,b0051,True,4589223,4590044,False
NP_414594.1,pdxA,,,4-hydroxythreonine-4-phosphate dehydrogenase,990,b0052,True,4588237,4589226,False
NP_414595.1,surA,,,chaperone SurA,1287,b0053,True,4586951,4588237,False
NP_414596.1,lptD,,,lipopolysaccharide assembly protein LptD,2355,b0054,True,4584544,4586898,False
NP_414597.1,djlA,,,co-chaperone protein DjlA,816,b0055,True,4584289,4583474,False
YP_009518734.1,yabP,,,putative uncharacterized protein YabP,651,b0056,True,4583179,4582529,False
YP_009518735.1,yabQ,,,protein YabQ,159,b0057,True,4582532,4582374,False
NP_414600.1,rluA,,,23S rRNA pseudouridine(746) and tRNA pseudouridine(32) synthase,660,b0058,True,4581307,4581966,False
NP_414601.1,rapA,,,RNA polymerase-binding ATPase and RNAP recycling factor,2907,b0059,True,4578389,4581295,False
NP_414602.1,polB,,,DNA polymerase II,2352,b0060,True,4575873,4578224,False
NP_414603.1,araD,,,L-ribulose-5-phosphate 4-epimerase AraD,696,b0061,True,4575103,4575798,False
NP_414604.1,araA,,,L-arabinose isomerase,1503,b0062,True,4573316,4574818,False
NP_414605.1,araB,,,ribulokinase,1701,b0063,True,4571605,4573305,False
NP_414606.1,araC,,,DNA-binding transcriptional dual regulator AraC,879,b0064,True,4571266,4570388,False
NP_414607.1,yabI,,,DedA family protein YabI,765,b0065,True,4570302,4569538,False
NP_414608.1,thiQ,,,thiamine ABC transporter ATP binding subunit,699,b0066,True,4568726,4569424,False
NP_414609.1,thiP,,,thiamine ABC transporter membrane subunit,1611,b0067,True,4567132,4568742,False
NP_414610.1,thiB,,,thiamine ABC transporter periplasmic binding protein,984,b0068,True,4566173,4567156,False
,sroA,,,small RNA SroA,93,b4762,True,4566045,4566137,False
NP_414611.1,sgrR,,,DNA-binding transcriptional dual regulator SgrR,1656,b0069,True,4564354,4566009,False
,sgrS,,,small regulatory RNA SgrS,227,b4577,True,4564286,4564060,False
YP_002791237.1,sgrT,,,PtsG glucose transporter inhibitor,132,b4662,True,4564265,4564134,False
YP_025293.1,setA,,,sugar exporter SetA,1179,b0070,True,4564032,4562854,False
NP_414613.1,leuD,,,3-isopropylmalate dehydratase subunit LeuD,606,b0071,True,4562200,4562805,False
NP_414614.1,leuC,,,3-isopropylmalate dehydratase subunit LeuC,1401,b0072,True,4560789,4562189,False
NP_414615.4,leuB,,,3-isopropylmalate dehydrogenase,1092,b0073,True,4559695,4560786,False
NP_414616.1,leuA,,,2-isopropylmalate synthase,1572,b0074,True,4558124,4559695,False
NP_414617.1,leuL,,,leu operon leader peptide,87,b0075,True,4557945,4558031,False
NP_414618.4,leuO,,,DNA-binding transcriptional dual regulator LeuO,945,b0076,True,4557285,4556341,False
YP_009518736.1,yabR,,,protein YabR,45,b4726,True,4556142,4556186,False
YP_025294.2,ilvI,,,"acetolactate synthase/acetohydroxybutanoate synthase, catalytic subunit",1725,b0077,True,4556023,4554299,False
NP_414620.1,ilvH,,,"acetolactate synthase/acetohydroxybutanoate synthase, regulatory subunit",492,b0078,True,4554296,4553805,False
NP_414622.1,cra,,,DNA-binding transcriptional dual regulator Cra,1005,b0080,True,4553625,4552621,False
NP_414623.1,mraZ,,,DNA-binding transcriptional repressor MraZ,459,b0081,True,4552019,4551561,False
NP_414624.1,rsmH,,,16S rRNA m(4)C1402 methyltransferase,942,b0082,True,4551559,4550618,False
NP_414625.1,ftsL,,,cell division protein FtsL,366,b0083,True,4550621,4550256,False
NP_414626.1,ftsI,,,peptidoglycan DD-transpeptidase FtsI,1767,b0084,True,4550240,4548474,False
,ftsO,,,small regulatory RNA FtsO,174,b4810,True,4549168,4548995,False
NP_414627.1,murE,,,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2, 6-diaminopimelate ligase",1488,b0085,True,4548487,4547000,False
NP_414628.1,murF,,,D-alanyl-D-alanine-adding enzyme,1359,b0086,True,4547003,4545645,False
NP_414629.1,mraY,,,phospho-N-acetylmuramoyl-pentapeptide- transferase,1083,b0087,True,4545651,4544569,False
NP_414630.1,murD,,,UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase,1317,b0088,True,4544566,4543250,False
NP_414631.1,ftsW,,,peptidoglycan glycosyltransferase FtsW,1245,b0089,True,4543250,4542006,False
NP_414632.1,murG,,,N-acetylglucosaminyl transferase,1068,b0090,True,4542009,4540942,False
NP_414633.1,murC,,,UDP-N-acetylmuramate--L-alanine ligase,1476,b0091,True,4540888,4539413,False
NP_414634.1,ddlB,,,D-alanine--D-alanine ligase B,921,b0092,True,4539420,4538500,False
NP_414635.1,ftsQ,,,cell division protein FtsQ,831,b0093,True,4538498,4537668,False
NP_414636.1,ftsA,,,cell division protein FtsA,1263,b0094,True,4537671,4536409,False
NP_414637.1,ftsZ,,,cell division protein FtsZ,1152,b0095,True,4536348,4535197,False
NP_414638.1,lpxC,,,UDP-3-O-acyl-N-acetylglucosamine deacetylase,918,b0096,True,4535096,4534179,False
NP_414639.2,secM,,,SecA translation regulator,513,b0097,True,4533948,4533436,False
NP_414640.1,secA,,,protein translocation ATPase,2706,b0098,True,4533374,4530669,False
NP_414641.1,mutT,,,8-oxo-dGTP diphosphatase,390,b0099,True,4530609,4530220,False
NP_414643.1,yacG,,,DNA gyrase inhibitor YacG,198,b0101,True,4529807,4530004,False
NP_414644.1,zapD,,,cell division factor ZapD,744,b0102,True,4529054,4529797,False
NP_414645.1,coaE,,,dephospho-CoA kinase,621,b0103,True,4528434,4529054,False
YP_009518737.1,yacM,,,protein YacM,45,b4727,True,4528409,4528365,False
NP_414646.1,guaC,,,GMP reductase,1044,b0104,True,4528209,4527166,False
NP_414648.1,hofC,,,inner membrane protein HofC,1203,b0106,True,4525929,4527131,False
NP_414649.1,hofB,,,T2SSE family protein,1386,b0107,True,4524554,4525939,False
NP_414650.1,ppdD,,,prepilin-type N-terminal cleavage/methylation domain-containing protein PpdD,441,b0108,True,4524104,4524544,False
NP_414651.1,nadC,,,quinolinate phosphoribosyltransferase (decarboxylating),894,b0109,True,4523008,4523901,False
NP_414652.1,ampD,,,"1,6-anhydro-N-acetylmuramoyl-L-alanine amidase",552,b0110,True,4522920,4522369,False
NP_414653.1,ampE,,,protein AmpE,855,b0111,True,4522372,4521518,False
NP_414654.1,aroP,,,aromatic amino acid:H(+) symporter AroP,1374,b0112,True,4520102,4521475,False
NP_414655.1,pdhR,,,DNA-binding transcriptional dual regulator PdhR,765,b0113,True,4519561,4518797,False
NP_414656.1,aceE,,,pyruvate dehydrogenase E1 component,2664,b0114,True,4518636,4515973,False
NP_414657.1,aceF,,,"pyruvate dehydrogenase, E2 subunit",1893,b0115,True,4515958,4514066,False
NP_414658.1,lpd,,,lipoamide dehydrogenase,1425,b0116,True,4513741,4512317,False
NP_414659.1,yacH,,,DUF3300 domain-containing protein YacH,1854,b0117,True,4510393,4512246,False
NP_414660.1,acnB,,,AcnB,2598,b0118,True,4510038,4507441,False
NP_414661.2,yacL,,,PF06062 family protein YacL,363,b0119,True,4507265,4506903,False
NP_414662.1,speD,,,S-adenosylmethionine decarboxylase proenzyme,795,b0120,True,4506071,4506865,False
NP_414663.1,speE,,,spermidine synthase,867,b0121,True,4505189,4506055,False
NP_414664.4,yacC,,,putative lipoprotein YacC,348,b0122,True,4504736,4505083,False
NP_414665.1,cueO,,,multicopper oxidase CueO,1551,b0123,True,4504570,4503020,False
NP_414666.1,gcd,,,quinoprotein glucose dehydrogenase,2391,b0124,True,4500428,4502818,False
NP_414667.4,hpt,,,hypoxanthine phosphoribosyltransferase,537,b0125,True,4500222,4499686,False
NP_414668.1,can,,,carbonic anhydrase 2,663,b0126,True,4498983,4499645,False
NP_414669.1,yadG,,,putative ABC transporter ATP-binding protein YadG,927,b0127,True,4498874,4497948,False
NP_414670.1,yadH,,,putative ABC transporter membrane subunit YadH,771,b0128,True,4497951,4497181,False
NP_414671.1,yadI,,,putative PTS enzyme IIA component YadI,441,b0129,True,4497076,4496636,False
NP_414672.1,yadE,,,putative polysaccharide deacetylase lipoprotein YadE,1230,b0130,True,4496572,4495343,False
NP_414673.1,panD,,,aspartate 1-decarboxylase proenzyme,381,b0131,True,4494959,4495339,False
NP_414674.1,rpnC,,,recombination-promoting nuclease RpnC,903,b0132,True,4494685,4493783,False
